time [сек];Mz;epsilon;omega;alpha;Iт;delta_р.в.;Mzp;V;Lp
0.149;1.7763568394002505e-15;2.5734878146025597e-14;3.8344968437578084e-15;4.0;38.8;-5.28;0;0;0
0.15;1.7763568394002505e-15;2.5734878146025597e-14;3.860231721903834e-15;4.0;38.8;-5.28;0;0;0
0.151;1.7763568394002505e-15;2.5734878146025597e-14;3.88596660004986e-15;4.0;38.8;-5.28;0;0;0
0.152;1.7763568394002505e-15;2.5734878146025597e-14;3.911701478195886e-15;4.0;38.8;-5.28;0;0;0
0.153;1.7763568394002505e-15;2.5734878146025597e-14;3.937436356341912e-15;4.0;38.8;-5.28;0;0;0
0.154;1.7763568394002505e-15;2.5734878146025597e-14;3.963171234487938e-15;4.0;38.8;-5.28;0;0;0
0.155;1.7763568394002505e-15;2.5734878146025597e-14;3.9889061126339634e-15;4.0;38.8;-5.28;0;0;0
0.156;1.7763568394002505e-15;2.5734878146025597e-14;4.014640990779989e-15;4.0;38.8;-5.28;0;0;0
0.157;1.7763568394002505e-15;2.5734878146025597e-14;4.040375868926015e-15;4.0;38.8;-5.28;0;0;0
0.158;1.7763568394002505e-15;2.5734878146025597e-14;4.066110747072041e-15;4.0;38.8;-5.28;0;0;0
0.159;1.7763568394002505e-15;2.5734878146025597e-14;4.091845625218067e-15;4.0;38.8;-5.28;0;0;0
0.16;1.7763568394002505e-15;2.5734878146025597e-14;4.117580503364093e-15;4.0;38.8;-5.28;0;0;0
0.161;1.7763568394002505e-15;2.5734878146025597e-14;4.1433153815101185e-15;4.0;38.8;-5.28;0;0;0
0.162;1.7763568394002505e-15;2.5734878146025597e-14;4.169050259656144e-15;4.0;38.8;-5.28;0;0;0
0.163;1.7763568394002505e-15;2.5734878146025597e-14;4.19478513780217e-15;4.0;38.8;-5.28;0;0;0
0.164;1.7763568394002505e-15;2.5734878146025597e-14;4.220520015948196e-15;4.0;38.8;-5.28;0;0;0
0.165;1.7763568394002505e-15;2.5734878146025597e-14;4.246254894094222e-15;4.0;38.8;-5.28;0;0;0
0.166;1.7763568394002505e-15;2.5734878146025597e-14;4.271989772240248e-15;4.0;38.8;-5.28;0;0;0
0.167;1.7763568394002505e-15;2.5734878146025597e-14;4.2977246503862735e-15;4.0;38.8;-5.28;0;0;0
0.168;1.7763568394002505e-15;2.5734878146025597e-14;4.323459528532299e-15;4.0;38.8;-5.28;0;0;0
0.169;1.7763568394002505e-15;2.5734878146025597e-14;4.349194406678325e-15;4.0;38.8;-5.28;0;0;0
0.17;1.7763568394002505e-15;2.5734878146025597e-14;4.374929284824351e-15;4.0;38.8;-5.28;0;0;0
0.171;1.7763568394002505e-15;2.5734878146025597e-14;4.400664162970377e-15;4.0;38.8;-5.28;0;0;0
0.172;1.7763568394002505e-15;2.5734878146025597e-14;4.426399041116403e-15;4.0;38.8;-5.28;0;0;0
0.173;1.7763568394002505e-15;2.5734878146025597e-14;4.4521339192624286e-15;4.0;38.8;-5.28;0;0;0
0.174;1.7763568394002505e-15;2.5734878146025597e-14;4.4778687974084544e-15;4.0;38.8;-5.28;0;0;0
0.175;1.7763568394002505e-15;2.5734878146025597e-14;4.50360367555448e-15;4.0;38.8;-5.28;0;0;0
0.176;1.7763568394002505e-15;2.5734878146025597e-14;4.529338553700506e-15;4.0;38.8;-5.28;0;0;0
0.177;1.7763568394002505e-15;2.5734878146025597e-14;4.555073431846532e-15;4.0;38.8;-5.28;0;0;0
0.178;1.7763568394002505e-15;2.5734878146025597e-14;4.580808309992558e-15;4.0;38.8;-5.28;0;0;0
0.179;1.7763568394002505e-15;2.5734878146025597e-14;4.606543188138584e-15;4.0;38.8;-5.28;0;0;0
0.18;1.7763568394002505e-15;2.5734878146025597e-14;4.6322780662846095e-15;4.0;38.8;-5.28;0;0;0
0.181;1.7763568394002505e-15;2.5734878146025597e-14;4.658012944430635e-15;4.0;38.8;-5.28;0;0;0
0.182;1.7763568394002505e-15;2.5734878146025597e-14;4.683747822576661e-15;4.0;38.8;-5.28;0;0;0
0.183;1.7763568394002505e-15;2.5734878146025597e-14;4.709482700722687e-15;4.0;38.8;-5.28;0;0;0
0.184;1.7763568394002505e-15;2.5734878146025597e-14;4.735217578868713e-15;4.0;38.8;-5.28;0;0;0
0.185;1.7763568394002505e-15;2.5734878146025597e-14;4.760952457014739e-15;4.0;38.8;-5.28;0;0;0
0.186;1.7763568394002505e-15;2.5734878146025597e-14;4.7866873351607645e-15;4.0;38.8;-5.28;0;0;0
0.187;1.7763568394002505e-15;2.5734878146025597e-14;4.81242221330679e-15;4.0;38.8;-5.28;0;0;0
0.188;1.7763568394002505e-15;2.5734878146025597e-14;4.838157091452816e-15;4.0;38.8;-5.28;0;0;0
0.189;1.7763568394002505e-15;2.5734878146025597e-14;4.863891969598842e-15;4.0;38.8;-5.28;0;0;0
0.19;1.7763568394002505e-15;2.5734878146025597e-14;4.889626847744868e-15;4.0;38.8;-5.28;0;0;0
0.191;1.7763568394002505e-15;2.5734878146025597e-14;4.915361725890894e-15;4.0;38.8;-5.28;0;0;0
0.192;1.7763568394002505e-15;2.5734878146025597e-14;4.9410966040369195e-15;4.0;38.8;-5.28;0;0;0
0.193;1.7763568394002505e-15;2.5734878146025597e-14;4.966831482182945e-15;4.0;38.8;-5.28;0;0;0
0.194;1.7763568394002505e-15;2.5734878146025597e-14;4.992566360328971e-15;4.0;38.8;-5.28;0;0;0
0.195;1.7763568394002505e-15;2.5734878146025597e-14;5.018301238474997e-15;4.0;38.8;-5.28;0;0;0
0.196;1.7763568394002505e-15;2.5734878146025597e-14;5.044036116621023e-15;4.0;38.8;-5.28;0;0;0
0.197;1.7763568394002505e-15;2.5734878146025597e-14;5.069770994767049e-15;4.0;38.8;-5.28;0;0;0
0.198;1.7763568394002505e-15;2.5734878146025597e-14;5.0955058729130746e-15;4.0;38.8;-5.28;0;0;0
0.199;1.7763568394002505e-15;2.5734878146025597e-14;5.1212407510591004e-15;4.0;38.8;-5.28;0;0;0
0.2;1.7763568394002505e-15;2.5734878146025597e-14;5.146975629205126e-15;4.0;38.8;-5.28;0;0;0
0.201;1.7763568394002505e-15;2.5734878146025597e-14;5.172710507351152e-15;4.0;38.8;-5.28;0;0;0
0.202;1.7763568394002505e-15;2.5734878146025597e-14;5.198445385497178e-15;4.0;38.8;-5.28;0;0;0
0.203;1.7763568394002505e-15;2.5734878146025597e-14;5.224180263643204e-15;4.0;38.8;-5.28;0;0;0
